Company Name,Category,Report
sola,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
summation,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
TRANSCEND,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
WisdomAI,HORIZONTAL AI APPLICATIONS,Accel 2025 US AI 100
7AI,SECURITY,Accel 2025 US AI 100
Adaptive,SECURITY,Accel 2025 US AI 100
AegisAI,SECURITY,Accel 2025 US AI 100
ANDESITE,SECURITY,Accel 2025 US AI 100
cogent,SECURITY,Accel 2025 US AI 100
ConductorOne,SECURITY,Accel 2025 US AI 100
Corridor,SECURITY,Accel 2025 US AI 100
depthfirst,SECURITY,Accel 2025 US AI 100
Doppel,SECURITY,Accel 2025 US AI 100
prophet,SECURITY,Accel 2025 US AI 100
ALTA,CONSUMER,Accel 2025 US AI 100
Daydream,CONSUMER,Accel 2025 US AI 100
Delphi,CONSUMER,Accel 2025 US AI 100
Finch,CONSUMER,Accel 2025 US AI 100
Generation Lab,CONSUMER,Accel 2025 US AI 100
POKE,CONSUMER,Accel 2025 US AI 100
sesame,CONSUMER,Accel 2025 US AI 100
Tolan,CONSUMER,Accel 2025 US AI 100
Generalist,ROBOTICS,Accel 2025 US AI 100
wolray,ROBOTICS,Accel 2025 US AI 100
SPECTER,ROBOTICS,Accel 2025 US AI 100
xDOF,ROBOTICS,Accel 2025 US AI 100
